country_name,year,rate,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use
Japan,2011,4.220151545472251e-05,12.2742530701447,6.5,48760.0789494211,78.9090909090909,3.6,26.583333333333332
Japan,2012,4.1595601471874555e-05,12.8068431271902,6.6,49145.2804308193,78.9090909090909,3.7,26.583333333333332
Japan,2013,4.423958976066567e-05,13.2542512411266,6.5,40898.6478964744,78.9090909090909,3.8,26.583333333333332
Japan,2014,4.6010117632624014e-05,13.740610303435,6.5,38475.3952461838,78.9090909090909,3.9,26.583333333333332
Japan,2015,4.513129974457633e-05,12.8685359282927,6.5,34960.6393843385,83.0,4.0,22.8
Latvia,2000,0.000391635632573,22.4970757971078,7.1,3278.17896440803,52.0,19.9,45.4
Latvia,2001,0.0004535957601715,21.6067918371829,7.1,3504.61829462397,65.91666666666667,20.4,39.57692307692308
Latvia,2002,0.0004497679478494,20.5080341220557,7.5,4003.60935783538,65.91666666666667,20.8,39.57692307692308
Latvia,2003,0.0004248871677556,19.4158394192282,8.2,4914.57992829302,65.91666666666667,21.3,39.57692307692308
Latvia,2004,0.0004818258760471,18.5452444962024,8.9,6109.73265186817,65.91666666666667,21.8,39.57692307692308
Latvia,2005,0.0004569450959533,18.1112861204801,9.7,7283.78738127622,58.0,22.2,42.4
Latvia,2006,0.0004717778687016,18.0087086881248,10.5,9211.7374468148,65.91666666666667,22.7,39.57692307692308
Latvia,2007,0.0004526388070909,17.9604077828999,11.2,13370.9789452508,65.91666666666667,23.1,41.3
Latvia,2008,0.0004229732615945,17.9236469538566,11.0,15677.6080864506,65.91666666666667,23.6,39.57692307692308
Latvia,2009,0.0004019202938228,17.8556897500464,10.5,11996.0322729773,65.91666666666667,24.0,39.57692307692308
Latvia,2010,0.0003906677515905,17.7137997205206,9.9,11188.4191700977,65.0,24.5,39.6
Latvia,2011,0.0004028772469034,15.525589653222,10.1,12902.574053337,65.91666666666667,24.9,39.57692307692308
Latvia,2012,0.0003904368568565,14.9825047352387,10.3,13329.3499931271,65.91666666666667,25.4,39.57692307692308
Latvia,2013,0.000391393809937,15.4093695076531,10.4,14484.4715282132,65.91666666666667,25.8,39.57692307692308
Latvia,2014,0.0003818242791317,16.0993170108535,10.6,15185.814581236,65.91666666666667,26.3,39.57692307692308
Latvia,2015,0.0003735024134581,13.6554000536401,10.9,13321.9753140616,70.0,26.8,37.1
Latvia,2016,0.0003488093978534,12.6030729844024,11.6,13838.5266823272,65.91666666666667,27.2,39.57692307692308
Latvia,2017,0.0003818242791317,11.6679973108454,12.4,15132.4958333982,75.0,27.7,39.57692307692308
Lithuania,2000,0.0003661480310375,18.083013444041,10.4,3300.63634928559,51.0,22.3,42.9
Lithuania,2001,0.0004045619079818,17.3276190793162,10.4,3532.52787363242,64.66666666666667,22.7,37.06923076923077
Lithuania,2002,0.0004292264106854,16.4295435196153,10.8,4148.13091485015,64.66666666666667,23.0,37.06923076923077
Lithuania,2003,0.0003987961800771,15.5425823302599,11.5,5507.47434187652,64.66666666666667,23.4,37.06923076923077
Lithuania,2004,0.0003882256789184,14.8205310765714,11.9,6734.57487061946,64.66666666666667,23.8,37.06923076923077
Lithuania,2005,0.0003814989963629,14.4171853238712,12.6,7857.03148786492,57.0,24.2,39.9
Lithuania,2006,0.0003879053607015,14.2765715251915,13.2,9210.10118229413,64.66666666666667,24.6,37.06923076923077
Lithuania,2007,0.0003699675405534,14.2038714091332,13.6,12295.1212779366,64.66666666666667,25.0,38.7
Lithuania,2008,0.0003750926320243,14.1446134543711,13.5,14955.5345462921,64.66666666666667,25.4,37.06923076923077
Lithuania,2009,0.0003427404921144,14.0443261395798,12.9,11854.3711053096,64.66666666666667,25.8,37.06923076923077
Lithuania,2010,0.0003574365112157,13.8485379434341,13.2,11829.122609457,63.0,26.3,37.1
Lithuania,2011,0.0003462639925007,12.3194519812497,13.9,14261.8433787325,64.66666666666667,26.6,37.06923076923077
Lithuania,2012,0.000326724581268,12.373124789345,14.9,14294.7178607152,64.66666666666667,27.0,37.06923076923077
Lithuania,2013,0.0003344122184743,12.4131714589563,14.9,15655.3513307327,64.66666666666667,27.4,37.06923076923077
Lithuania,2014,0.0003420998556806,12.7577404745041,14.3,16473.5678231709,64.66666666666667,27.8,37.06923076923077
